Filename,Predictions,Real Values
32145.jpg,Theophile Steinlen,kiri nichol
20304.jpg,Theophile Steinlen,kiri nichol
836.jpg,Theophile Steinlen,kiri nichol
49823.jpg,Theophile Steinlen,Hiroshige
84512.jpg,Eugene Boudin,Franz Richard Unterberger
32996.jpg,Camille Pissarro,Paul Serusier
77203.jpg,Theophile Steinlen,Hiroshige
85864.jpg,Boris Kustodiev,Mark Rothko
75956.jpg,Eugene Boudin,Jan Matejko
24465.jpg,Theophile Steinlen,Konstantin Vasilyev
62982.jpg,Edgar Degas,Matthias Stom
31977.jpg,Gustave Dore,Gustave Dore
2984.jpg,Theophile Steinlen,Jean Fouquet
15715.jpg,Edgar Degas,Titian
4235.jpg,Vincent van Gogh,Konstantin Vasilyev
65895.jpg,Vincent van Gogh,Jan van Eyck
100979.jpg,Theophile Steinlen,Utagawa Kuniyoshi
53464.jpg,Pierre-Auguste Renoir,Konstantin Vasilyev
52582.jpg,Theophile Steinlen,kiri nichol
98290.jpg,Boris Kustodiev,kiri nichol
22455.jpg,Theophile Steinlen,kiri nichol
60002.jpg,Theophile Steinlen,alex colville
9011.jpg,Boris Kustodiev,Mario Tozzi
54395.jpg,Theophile Steinlen,Carlos Saenz de Tejada
24597.jpg,Theophile Steinlen,Carlos Saenz de Tejada
45778.jpg,Theophile Steinlen,Carlos Saenz de Tejada
29616.jpg,Camille Pissarro,Gustave Caillebotte
36382.jpg,Vincent van Gogh,Konstantin Vasilyev
19784.jpg,Vincent van Gogh,Konstantin Vasilyev
16601.jpg,Camille Pissarro,Konstantin Vasilyev
55036.jpg,Camille Pissarro,Konstantin Vasilyev
15896.jpg,Theophile Steinlen,Konstantin Vasilyev
13595.jpg,Edgar Degas,Koloman Moser
92287.jpg,Edgar Degas,Judith Leyster
16042.jpg,Theophile Steinlen,Konstantin Vasilyev
38383.jpg,Vincent van Gogh,Theo van Rysselberghe
93795.jpg,Vincent van Gogh,Konstantin Vasilyev
41539.jpg,Camille Corot,Adriaen van de Velde
70873.jpg,Camille Corot,William Merritt Chase
83376.jpg,Boris Kustodiev,Konstantin Vasilyev
26862.jpg,Boris Kustodiev,Kazimir Malevich
