Filename,Predictions,Real Values
32145.jpg,Pablo Picasso,kiri nichol
20304.jpg,Pablo Picasso,kiri nichol
836.jpg,Pablo Picasso,kiri nichol
49823.jpg,Pablo Picasso,Hiroshige
84512.jpg,John Singer Sargent,Franz Richard Unterberger
32996.jpg,Pablo Picasso,Paul Serusier
77203.jpg,Pablo Picasso,Hiroshige
24465.jpg,Marc Chagall,Konstantin Vasilyev
62982.jpg,John Singer Sargent,Matthias Stom
4235.jpg,Gustave Dore,Konstantin Vasilyev
65895.jpg,Ilya Repin,Jan van Eyck
53464.jpg,John Singer Sargent,Konstantin Vasilyev
52582.jpg,Pablo Picasso,kiri nichol
98290.jpg,Pablo Picasso,kiri nichol
22455.jpg,Pablo Picasso,kiri nichol
60002.jpg,Pablo Picasso,alex colville
9011.jpg,Ilya Repin,Mario Tozzi
54395.jpg,Ilya Repin,Carlos Saenz de Tejada
24597.jpg,Pablo Picasso,Carlos Saenz de Tejada
45778.jpg,Ilya Repin,Carlos Saenz de Tejada
36382.jpg,Marc Chagall,Konstantin Vasilyev
19784.jpg,Marc Chagall,Konstantin Vasilyev
16601.jpg,Ilya Repin,Konstantin Vasilyev
55036.jpg,Pablo Picasso,Konstantin Vasilyev
15896.jpg,Marc Chagall,Konstantin Vasilyev
16042.jpg,Marc Chagall,Konstantin Vasilyev
93795.jpg,John Singer Sargent,Konstantin Vasilyev
41539.jpg,Ivan Shishkin,Adriaen van de Velde
83376.jpg,John Singer Sargent,Konstantin Vasilyev
26862.jpg,Ilya Repin,Kazimir Malevich
98066.jpg,Pablo Picasso,Suzanne Valadon
18627.jpg,Pablo Picasso,Felicien Rops
1028.jpg,John Singer Sargent,Konstantin Vasilyev
8820.jpg,Ilya Repin,Konstantin Vasilyev
96265.jpg,Pablo Picasso,kirsty ellen mottram
67048.jpg,Pablo Picasso,kirsty ellen mottram
38653.jpg,Pablo Picasso,kirsty ellen mottram
11347.jpg,Pablo Picasso,kirsty ellen mottram
57436.jpg,Marc Chagall,Emil Schumacher
73312.jpg,Pablo Picasso,Konstantin Vasilyev
70079.jpg,Ilya Repin,Francisco de Zurbaran
58579.jpg,Zdislav Beksinski,Konstantin Vasilyev
88133.jpg,Pablo Picasso,Konstantin Vasilyev
79416.jpg,Marc Chagall,Konstantin Vasilyev
80474.jpg,John Singer Sargent,Frans Snyders
58980.jpg,Ilya Repin,Eugeniusz Żak
76474.jpg,Ilya Repin,Konstantin Vasilyev
8180.jpg,Zdislav Beksinski,Adriaen van de Velde
34412.jpg,Ivan Aivazovsky,Konstantin Vasilyev
83267.jpg,Zdislav Beksinski,Shitao
22481.jpg,Pablo Picasso,Konstantin Vasilyev
56560.jpg,Marc Chagall,Domenico Veneziano
24002.jpg,Pablo Picasso,kirsty ellen mottram
33307.jpg,John Singer Sargent,Konstantin Vasilyev
76107.jpg,Pablo Picasso,Marie Laurencin
46001.jpg,Pierre-Auguste Renoir,Franz Stuck
50186.jpg,Ilya Repin,Konstantin Vasilyev
57202.jpg,Marc Chagall,Konstantin Vasilyev
21589.jpg,Zdislav Beksinski,Mario Tozzi
100951.jpg,Marc Chagall,Konstantin Vasilyev
1538.jpg,Zdislav Beksinski,Konstantin Vasilyev
25137.jpg,Marc Chagall,Konstantin Vasilyev
58549.jpg,Ilya Repin,Konstantin Vasilyev
76134.jpg,Marc Chagall,Konstantin Vasilyev
49235.jpg,Pablo Picasso,Rudolf von Alt
93054.jpg,Ivan Aivazovsky,Frederic Edwin Church
