Filename,Style,Genre,Date,Predictions,Real Values
32145.jpg,Neoplasticism,,2013.0,Theophile Steinlen,kiri nichol
20304.jpg,Neoplasticism,,2013.0,Theophile Steinlen,kiri nichol
836.jpg,Neoplasticism,,2013.0,Theophile Steinlen,kiri nichol
49823.jpg,Ukiyo-e,bird-and-flower painting,1838,Theophile Steinlen,Hiroshige
84512.jpg,Romanticism,cityscape,,Eugene Boudin,Franz Richard Unterberger
32996.jpg,Cloisonnism,genre painting,1890,Camille Pissarro,Paul Serusier
77203.jpg,Ukiyo-e,bird-and-flower painting,1838,Theophile Steinlen,Hiroshige
85864.jpg,Abstract Art,abstract,1968,Boris Kustodiev,Mark Rothko
75956.jpg,Romanticism,history painting,1891.0,Eugene Boudin,Jan Matejko
24465.jpg,Symbolism,genre painting,,Theophile Steinlen,Konstantin Vasilyev
62982.jpg,Tenebrism,religious painting,,Edgar Degas,Matthias Stom
31977.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
2984.jpg,Northern Renaissance,history painting,,Theophile Steinlen,Jean Fouquet
15715.jpg,Mannerism (Late Renaissance),self-portrait,1562,Edgar Degas,Titian
4235.jpg,Symbolism,literary painting,,Vincent van Gogh,Konstantin Vasilyev
65895.jpg,Northern Renaissance,portrait,1433,Vincent van Gogh,Jan van Eyck
100979.jpg,Ukiyo-e,illustration,,Theophile Steinlen,Utagawa Kuniyoshi
53464.jpg,Symbolism,portrait,,Pierre-Auguste Renoir,Konstantin Vasilyev
52582.jpg,Neoplasticism,,2013.0,Theophile Steinlen,kiri nichol
98290.jpg,Neoplasticism,,2013.0,Boris Kustodiev,kiri nichol
22455.jpg,Neoplasticism,,2013.0,Theophile Steinlen,kiri nichol
60002.jpg,Magic Realism,,1963,Theophile Steinlen,alex colville
9011.jpg,,figurative,1943,Boris Kustodiev,Mario Tozzi
54395.jpg,Art Nouveau (Modern),history painting,,Theophile Steinlen,Carlos Saenz de Tejada
24597.jpg,Art Nouveau (Modern),history painting,,Theophile Steinlen,Carlos Saenz de Tejada
45778.jpg,Art Nouveau (Modern),history painting,,Theophile Steinlen,Carlos Saenz de Tejada
29616.jpg,Impressionism,genre painting,1881,Camille Pissarro,Gustave Caillebotte
36382.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
19784.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
16601.jpg,Symbolism,mythological painting,,Camille Pissarro,Konstantin Vasilyev
55036.jpg,Symbolism,portrait,,Camille Pissarro,Konstantin Vasilyev
15896.jpg,Symbolism,mythological painting,,Theophile Steinlen,Konstantin Vasilyev
13595.jpg,Art Nouveau (Modern),self-portrait,c.1910,Edgar Degas,Koloman Moser
92287.jpg,Baroque,flower painting,1654,Edgar Degas,Judith Leyster
16042.jpg,Symbolism,mythological painting,,Theophile Steinlen,Konstantin Vasilyev
38383.jpg,Impressionism,nude painting (nu),1905,Vincent van Gogh,Theo van Rysselberghe
93795.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
41539.jpg,Baroque,portrait,1667,Camille Corot,Adriaen van de Velde
70873.jpg,Japonism,portrait,1890,Camille Corot,William Merritt Chase
83376.jpg,Contemporary Realism,portrait,1974.0,Boris Kustodiev,Konstantin Vasilyev
26862.jpg,Suprematism,portrait,1932,Boris Kustodiev,Kazimir Malevich
98066.jpg,Post-Impressionism,genre painting,1923,Pyotr Konchalovsky,Suzanne Valadon
48930.jpg,Realism,landscape,1889,Vincent van Gogh,Ferdinand Hodler
18627.jpg,Symbolism,genre painting,c.1884,Boris Kustodiev,Felicien Rops
1028.jpg,Symbolism,genre painting,,Theophile Steinlen,Konstantin Vasilyev
8820.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
