Filename,Date,Genre,Style,Predictions,Real Values
32145.jpg,2013.0,,Neoplasticism,Albrecht Durer,kiri nichol
20304.jpg,2013.0,,Neoplasticism,Albrecht Durer,kiri nichol
836.jpg,2013.0,,Neoplasticism,Pablo Picasso,kiri nichol
49823.jpg,1838,bird-and-flower painting,Ukiyo-e,Albrecht Durer,Hiroshige
84512.jpg,,cityscape,Romanticism,Ivan Aivazovsky,Franz Richard Unterberger
32996.jpg,1890,genre painting,Cloisonnism,Camille Pissarro,Paul Serusier
77203.jpg,1838,bird-and-flower painting,Ukiyo-e,Theophile Steinlen,Hiroshige
85864.jpg,1968,abstract,Abstract Art,Childe Hassam,Mark Rothko
75956.jpg,1891.0,history painting,Romanticism,Gustave Dore,Jan Matejko
24465.jpg,,genre painting,Symbolism,Albrecht Durer,Konstantin Vasilyev
62982.jpg,,religious painting,Tenebrism,Rembrandt,Matthias Stom
31977.jpg,,illustration,Romanticism,Gustave Dore,Gustave Dore
2984.jpg,,history painting,Northern Renaissance,Albrecht Durer,Jean Fouquet
15715.jpg,1562,self-portrait,Mannerism (Late Renaissance),Rembrandt,Titian
4235.jpg,,literary painting,Symbolism,Gustave Dore,Konstantin Vasilyev
65895.jpg,1433,portrait,Northern Renaissance,Albrecht Durer,Jan van Eyck
100979.jpg,,illustration,Ukiyo-e,Rembrandt,Utagawa Kuniyoshi
53464.jpg,,portrait,Symbolism,Rembrandt,Konstantin Vasilyev
52582.jpg,2013.0,,Neoplasticism,Pablo Picasso,kiri nichol
98290.jpg,2013.0,,Neoplasticism,Pablo Picasso,kiri nichol
22455.jpg,2013.0,,Neoplasticism,Pablo Picasso,kiri nichol
60002.jpg,1963,,Magic Realism,Camille Corot,alex colville
9011.jpg,1943,figurative,,Boris Kustodiev,Mario Tozzi
54395.jpg,,history painting,Art Nouveau (Modern),Theophile Steinlen,Carlos Saenz de Tejada
24597.jpg,,history painting,Art Nouveau (Modern),Theophile Steinlen,Carlos Saenz de Tejada
45778.jpg,,history painting,Art Nouveau (Modern),Rembrandt,Carlos Saenz de Tejada
29616.jpg,1881,genre painting,Impressionism,Claude Monet,Gustave Caillebotte
36382.jpg,,mythological painting,Symbolism,Henri Matisse,Konstantin Vasilyev
19784.jpg,,mythological painting,Symbolism,Pablo Picasso,Konstantin Vasilyev
16601.jpg,,mythological painting,Symbolism,Childe Hassam,Konstantin Vasilyev
55036.jpg,,portrait,Symbolism,Albrecht Durer,Konstantin Vasilyev
15896.jpg,,mythological painting,Symbolism,Boris Kustodiev,Konstantin Vasilyev
13595.jpg,c.1910,self-portrait,Art Nouveau (Modern),Pablo Picasso,Koloman Moser
92287.jpg,1654,flower painting,Baroque,Rembrandt,Judith Leyster
16042.jpg,,mythological painting,Symbolism,Ivan Aivazovsky,Konstantin Vasilyev
38383.jpg,1905,nude painting (nu),Impressionism,Claude Monet,Theo van Rysselberghe
93795.jpg,,mythological painting,Symbolism,Zdislav Beksinski,Konstantin Vasilyev
41539.jpg,1667,portrait,Baroque,Camille Corot,Adriaen van de Velde
70873.jpg,1890,portrait,Japonism,John Singer Sargent,William Merritt Chase
83376.jpg,1974.0,portrait,Contemporary Realism,Henri Matisse,Konstantin Vasilyev
26862.jpg,1932,portrait,Suprematism,Boris Kustodiev,Kazimir Malevich
98066.jpg,1923,genre painting,Post-Impressionism,Pyotr Konchalovsky,Suzanne Valadon
48930.jpg,1889,landscape,Realism,Vincent van Gogh,Ferdinand Hodler
18627.jpg,c.1884,genre painting,Symbolism,Boris Kustodiev,Felicien Rops
1028.jpg,,genre painting,Symbolism,Rembrandt,Konstantin Vasilyev
8820.jpg,,mythological painting,Symbolism,Boris Kustodiev,Konstantin Vasilyev
96265.jpg,,,Naïve Art (Primitivism),Boris Kustodiev,kirsty ellen mottram
67048.jpg,,,Naïve Art (Primitivism),Boris Kustodiev,kirsty ellen mottram
38653.jpg,,,Naïve Art (Primitivism),Boris Kustodiev,kirsty ellen mottram
11347.jpg,,,Naïve Art (Primitivism),Pablo Picasso,kirsty ellen mottram
57436.jpg,1991.0,abstract,Tachisme,Pablo Picasso,Emil Schumacher
73312.jpg,,symbolic painting,Surrealism,Henri Matisse,Konstantin Vasilyev
13495.jpg,1910,landscape,Art Nouveau (Modern),Pablo Picasso,Ferdinand Hodler
63849.jpg,1914,self-portrait,Art Nouveau (Modern),Henri Matisse,Ferdinand Hodler
20153.jpg,1534,portrait,Mannerism (Late Renaissance),Camille Corot,Giorgio Vasari
70079.jpg,c.1660,religious painting,Baroque,Rembrandt,Francisco de Zurbaran
13674.jpg,c.1912,portrait,Art Nouveau (Modern),Pablo Picasso,Ferdinand Hodler
88764.jpg,c.1910,design,Art Nouveau (Modern),Theophile Steinlen,Koloman Moser
58579.jpg,,genre painting,Symbolism,Zdislav Beksinski,Konstantin Vasilyev
88133.jpg,,mythological painting,Symbolism,Pablo Picasso,Konstantin Vasilyev
79416.jpg,,mythological painting,Symbolism,Zdislav Beksinski,Konstantin Vasilyev
80474.jpg,,still life,Baroque,Theophile Steinlen,Frans Snyders
58980.jpg,,,,Pablo Picasso,Eugeniusz Żak
76474.jpg,,portrait,Contemporary Realism,Boris Kustodiev,Konstantin Vasilyev
8180.jpg,1658,animal painting,Baroque,Ivan Aivazovsky,Adriaen van de Velde
34412.jpg,,landscape,Symbolism,Ivan Aivazovsky,Konstantin Vasilyev
83267.jpg,1699.0,landscape,Ink and wash painting,Vincent van Gogh,Shitao
71350.jpg,1909,sketch and study,Symbolism,Rembrandt,Ferdinand Hodler
22481.jpg,,mythological painting,Symbolism,Albrecht Durer,Konstantin Vasilyev
56560.jpg,c.1439,religious painting,Early Renaissance,Boris Kustodiev,Domenico Veneziano
24002.jpg,,,Naïve Art (Primitivism),Pablo Picasso,kirsty ellen mottram
1589.jpg,1878,landscape,Realism,Pablo Picasso,Ferdinand Hodler
33307.jpg,,mythological painting,Symbolism,Henri Matisse,Konstantin Vasilyev
76107.jpg,,,,Pablo Picasso,Marie Laurencin
22326.jpg,1908,sketch and study,Symbolism,Boris Kustodiev,Ferdinand Hodler
46001.jpg,1917,genre painting,Symbolism,Pyotr Konchalovsky,Franz Stuck
23476.jpg,1905,design,Art Nouveau (Modern),Camille Pissarro,Koloman Moser
20616.jpg,1878,landscape,Realism,Camille Pissarro,Ferdinand Hodler
61194.jpg,1898,portrait,Art Nouveau (Modern),Pablo Picasso,Ferdinand Hodler
50186.jpg,,genre painting,Symbolism,Boris Kustodiev,Konstantin Vasilyev
57202.jpg,,mythological painting,Symbolism,Albrecht Durer,Konstantin Vasilyev
14408.jpg,1872,self-portrait,Symbolism,John Singer Sargent,Arnold Böcklin
6586.jpg,1908,landscape,Art Nouveau (Modern),Claude Monet,Ferdinand Hodler
909.jpg,1896,nude painting (nu),Neoclassicism,Ivan Aivazovsky,William-Adolphe Bouguereau
99492.jpg,1905,nude painting (nu),Magic Realism,Boris Kustodiev,Felix Vallotton 
21589.jpg,1964,figurative,,Zdislav Beksinski,Mario Tozzi
85018.jpg,1917,sketch and study,Impressionism,Boris Kustodiev,Pierre-Auguste Renoir
100951.jpg,,portrait,Symbolism,Zdislav Beksinski,Konstantin Vasilyev
19019.jpg,c.1914,nude painting (nu),Art Nouveau (Modern),Pablo Picasso,Koloman Moser
1538.jpg,1963.0,symbolic painting,Surrealism,Zdislav Beksinski,Konstantin Vasilyev
